ticker,session_date,entry_rule,exit_rule,status,entry_idx,exit_idx,entry_price,exit_price,entry_ts,exit_ts,bars_held,underlying_pnl,underlying_pct,hit_daily_target,hit_daily_stop
NVDA,2026-03-03,C,Z,ok,4.0,151.0,178.07,179.9,2026-03-03 09:34:00-05:00,2026-03-03 12:01:00-05:00,147.0,1.8300000000000125,0.01027685741562314,False,False
NVDA,2026-03-05,A,X,ok,0.0,78.0,181.3097,182.91,2026-03-05 09:30:00-05:00,2026-03-05 10:48:00-05:00,78.0,1.6003000000000043,0.00882633416744942,True,False
NVDA,2026-03-05,A,Y,ok,0.0,1.0,181.3097,181.47,2026-03-05 09:30:00-05:00,2026-03-05 09:31:00-05:00,1.0,0.16030000000000655,0.000884122581417357,False,False
NVDA,2026-03-05,A,Z,ok,0.0,58.0,181.3097,181.47,2026-03-05 09:30:00-05:00,2026-03-05 10:28:00-05:00,58.0,0.16030000000000655,0.000884122581417357,False,False
NVDA,2026-03-05,B,X,ok,0.0,78.0,181.3097,182.91,2026-03-05 09:30:00-05:00,2026-03-05 10:48:00-05:00,78.0,1.6003000000000043,0.00882633416744942,True,False
NVDA,2026-03-05,B,Y,ok,0.0,1.0,181.3097,181.47,2026-03-05 09:30:00-05:00,2026-03-05 09:31:00-05:00,1.0,0.16030000000000655,0.000884122581417357,False,False
NVDA,2026-03-05,B,Z,ok,0.0,58.0,181.3097,181.47,2026-03-05 09:30:00-05:00,2026-03-05 10:28:00-05:00,58.0,0.16030000000000655,0.000884122581417357,False,False
NVDA,2026-03-05,C,X,ok,1.0,78.0,181.47,182.91,2026-03-05 09:31:00-05:00,2026-03-05 10:48:00-05:00,77.0,1.4399999999999977,0.007935195900148772,True,False
NVDA,2026-03-05,C,Y,ok,1.0,2.0,181.47,181.5,2026-03-05 09:31:00-05:00,2026-03-05 09:32:00-05:00,1.0,0.030000000000001137,0.00016531658125310596,False,False
NVDA,2026-03-05,C,Z,ok,1.0,58.0,181.47,181.47,2026-03-05 09:31:00-05:00,2026-03-05 10:28:00-05:00,57.0,0.0,0.0,False,False
SPY,2026-03-05,A,X,ok,0.0,171.0,682.5,678.99,2026-03-05 09:30:00-05:00,2026-03-05 12:21:00-05:00,171.0,-3.509999999999991,-0.00514285714285713,False,True
SPY,2026-03-05,A,Y,ok,0.0,1.0,682.5,683.01,2026-03-05 09:30:00-05:00,2026-03-05 09:31:00-05:00,1.0,0.5099999999999909,0.0007472527472527339,False,False
SPY,2026-03-05,A,Z,ok,0.0,37.0,682.5,683.375,2026-03-05 09:30:00-05:00,2026-03-05 10:07:00-05:00,37.0,0.875,0.001282051282051282,False,False
SPY,2026-03-05,B,X,ok,0.0,171.0,682.5,678.99,2026-03-05 09:30:00-05:00,2026-03-05 12:21:00-05:00,171.0,-3.509999999999991,-0.00514285714285713,False,True
SPY,2026-03-05,B,Y,ok,0.0,1.0,682.5,683.01,2026-03-05 09:30:00-05:00,2026-03-05 09:31:00-05:00,1.0,0.5099999999999909,0.0007472527472527339,False,False
SPY,2026-03-05,B,Z,ok,0.0,37.0,682.5,683.375,2026-03-05 09:30:00-05:00,2026-03-05 10:07:00-05:00,37.0,0.875,0.001282051282051282,False,False
SPY,2026-03-05,C,X,ok,0.0,171.0,682.5,678.99,2026-03-05 09:30:00-05:00,2026-03-05 12:21:00-05:00,171.0,-3.509999999999991,-0.00514285714285713,False,True
SPY,2026-03-05,C,Y,ok,0.0,1.0,682.5,683.01,2026-03-05 09:30:00-05:00,2026-03-05 09:31:00-05:00,1.0,0.5099999999999909,0.0007472527472527339,False,False
SPY,2026-03-05,C,Z,ok,0.0,37.0,682.5,683.375,2026-03-05 09:30:00-05:00,2026-03-05 10:07:00-05:00,37.0,0.875,0.001282051282051282,False,False
AMZN,2026-03-06,A,X,ok,0.0,180.0,216.13,215.445,2026-03-06 09:30:00-05:00,2026-03-06 12:30:00-05:00,180.0,-0.6850000000000023,-0.003169388793781531,False,False
AMZN,2026-03-06,A,Y,ok,0.0,2.0,216.13,216.23,2026-03-06 09:30:00-05:00,2026-03-06 09:32:00-05:00,2.0,0.09999999999999432,0.00046268449544253145,False,False
AMZN,2026-03-06,A,Z,ok,0.0,16.0,216.13,215.385,2026-03-06 09:30:00-05:00,2026-03-06 09:46:00-05:00,16.0,-0.7450000000000045,-0.0034469994910470763,False,False
AMZN,2026-03-06,B,X,ok,0.0,180.0,216.13,215.445,2026-03-06 09:30:00-05:00,2026-03-06 12:30:00-05:00,180.0,-0.6850000000000023,-0.003169388793781531,False,False
AMZN,2026-03-06,B,Y,ok,0.0,2.0,216.13,216.23,2026-03-06 09:30:00-05:00,2026-03-06 09:32:00-05:00,2.0,0.09999999999999432,0.00046268449544253145,False,False
AMZN,2026-03-06,B,Z,ok,0.0,16.0,216.13,215.385,2026-03-06 09:30:00-05:00,2026-03-06 09:46:00-05:00,16.0,-0.7450000000000045,-0.0034469994910470763,False,False
AMZN,2026-03-06,C,X,ok,28.0,208.0,214.27,214.715,2026-03-06 09:58:00-05:00,2026-03-06 12:58:00-05:00,180.0,0.4449999999999932,0.0020768189667241944,False,False
AMZN,2026-03-06,C,Y,ok,28.0,85.0,214.27,215.69,2026-03-06 09:58:00-05:00,2026-03-06 10:55:00-05:00,57.0,1.4199999999999875,0.006627152657861518,False,False
AMZN,2026-03-06,C,Z,ok,28.0,39.0,214.27,214.48,2026-03-06 09:58:00-05:00,2026-03-06 10:09:00-05:00,11.0,0.20999999999997954,0.00098007187193718,False,False
JPM,2026-03-06,A,X,ok,0.0,180.0,284.6,287.03,2026-03-06 09:30:00-05:00,2026-03-06 12:30:00-05:00,180.0,2.42999999999995,0.008538299367533204,False,False
JPM,2026-03-06,A,Y,ok,0.0,8.0,284.6,285.17,2026-03-06 09:30:00-05:00,2026-03-06 09:38:00-05:00,8.0,0.5699999999999932,0.0020028109627547195,False,False
JPM,2026-03-06,A,Z,ok,0.0,77.0,284.6,286.3772,2026-03-06 09:30:00-05:00,2026-03-06 10:47:00-05:00,77.0,1.7771999999999935,0.006244553759662661,False,False
JPM,2026-03-06,B,—,skipped_entry,,,,,,,,,,,
JPM,2026-03-06,C,X,ok,5.0,185.0,283.89,286.925,2026-03-06 09:35:00-05:00,2026-03-06 12:35:00-05:00,180.0,3.035000000000025,0.010690760505829811,False,False
JPM,2026-03-06,C,Y,ok,5.0,8.0,283.89,285.17,2026-03-06 09:35:00-05:00,2026-03-06 09:38:00-05:00,3.0,1.2800000000000296,0.00450878861530885,False,False
JPM,2026-03-06,C,Z,ok,5.0,77.0,283.89,286.3772,2026-03-06 09:35:00-05:00,2026-03-06 10:47:00-05:00,72.0,2.48720000000003,0.008761139878121913,False,False
SPY,2026-03-06,A,X,ok,0.0,180.0,672.83,673.89,2026-03-06 09:30:00-05:00,2026-03-06 12:30:00-05:00,180.0,1.0599999999999454,0.0015754351024775135,False,False
SPY,2026-03-06,A,Y,ok,0.0,21.0,672.83,671.77,2026-03-06 09:30:00-05:00,2026-03-06 09:51:00-05:00,21.0,-1.0600000000000591,-0.0015754351024776824,False,False
SPY,2026-03-06,A,Z,ok,0.0,16.0,672.83,670.4,2026-03-06 09:30:00-05:00,2026-03-06 09:46:00-05:00,16.0,-2.4300000000000637,-0.0036116106594534484,False,False
SPY,2026-03-06,B,—,skipped_entry,,,,,,,,,,,
SPY,2026-03-06,C,X,ok,29.0,209.0,670.87,673.08,2026-03-06 09:59:00-05:00,2026-03-06 12:59:00-05:00,180.0,2.2100000000000364,0.0032942298806028537,False,False
SPY,2026-03-06,C,Y,ok,29.0,30.0,670.87,672.23,2026-03-06 09:59:00-05:00,2026-03-06 10:00:00-05:00,1.0,1.3600000000000136,0.0020272183880632815,False,False
SPY,2026-03-06,C,Z,ok,29.0,73.0,670.87,674.37,2026-03-06 09:59:00-05:00,2026-03-06 10:43:00-05:00,44.0,3.5,0.00521710614575104,False,False
JPM,2026-03-09,A,X,ok,0.0,23.0,286.29,281.6516,2026-03-09 09:30:00-04:00,2026-03-09 09:53:00-04:00,23.0,-4.638400000000047,-0.016201753466764633,False,True
JPM,2026-03-09,A,Y,ok,0.0,91.0,286.29,282.65,2026-03-09 09:30:00-04:00,2026-03-09 11:01:00-04:00,91.0,-3.640000000000043,-0.01271438052324581,False,True
JPM,2026-03-09,A,Z,ok,0.0,9.0,286.29,285.44,2026-03-09 09:30:00-04:00,2026-03-09 09:39:00-04:00,9.0,-0.8500000000000227,-0.0029690174298788734,False,False
JPM,2026-03-09,B,X,ok,0.0,23.0,286.29,281.6516,2026-03-09 09:30:00-04:00,2026-03-09 09:53:00-04:00,23.0,-4.638400000000047,-0.016201753466764633,False,True
JPM,2026-03-09,B,Y,ok,0.0,91.0,286.29,282.65,2026-03-09 09:30:00-04:00,2026-03-09 11:01:00-04:00,91.0,-3.640000000000043,-0.01271438052324581,False,True
JPM,2026-03-09,B,Z,ok,0.0,9.0,286.29,285.44,2026-03-09 09:30:00-04:00,2026-03-09 09:39:00-04:00,9.0,-0.8500000000000227,-0.0029690174298788734,False,False
JPM,2026-03-09,C,X,ok,23.0,24.0,281.6516,282.005,2026-03-09 09:53:00-04:00,2026-03-09 09:54:00-04:00,1.0,0.3534000000000219,0.0012547416737558811,False,True
JPM,2026-03-09,C,Y,ok,23.0,91.0,281.6516,282.65,2026-03-09 09:53:00-04:00,2026-03-09 11:01:00-04:00,68.0,0.9984000000000037,0.0035448050002201436,False,True
JPM,2026-03-09,C,Z,ok,23.0,99.0,281.6516,282.11,2026-03-09 09:53:00-04:00,2026-03-09 11:09:00-04:00,76.0,0.4584000000000401,0.0016275426803896735,False,True
NVDA,2026-03-09,A,X,ok,0.0,12.0,177.009,175.83,2026-03-09 09:30:00-04:00,2026-03-09 09:42:00-04:00,12.0,-1.1789999999999736,-0.006660678270596262,False,True
NVDA,2026-03-09,A,Y,ok,0.0,1.0,177.009,177.371,2026-03-09 09:30:00-04:00,2026-03-09 09:31:00-04:00,1.0,0.3620000000000232,0.0020450937522952122,False,False
NVDA,2026-03-09,A,Z,ok,0.0,180.0,177.009,180.225,2026-03-09 09:30:00-04:00,2026-03-09 12:30:00-04:00,180.0,3.216000000000008,0.018168567699947506,False,True
NVDA,2026-03-09,B,X,ok,2.0,12.0,178.06,175.83,2026-03-09 09:32:00-04:00,2026-03-09 09:42:00-04:00,10.0,-2.2299999999999898,-0.012523868358980061,False,True
NVDA,2026-03-09,B,Y,ok,2.0,3.0,178.06,177.99,2026-03-09 09:32:00-04:00,2026-03-09 09:33:00-04:00,1.0,-0.06999999999999318,-0.0003931259126136874,False,False
NVDA,2026-03-09,B,Z,ok,2.0,182.0,178.06,180.1239,2026-03-09 09:32:00-04:00,2026-03-09 12:32:00-04:00,180.0,2.0638999999999896,0.011591036729192348,False,True
NVDA,2026-03-09,C,X,ok,15.0,16.0,175.73,176.22,2026-03-09 09:45:00-04:00,2026-03-09 09:46:00-04:00,1.0,0.4900000000000091,0.002788368519888517,False,True
NVDA,2026-03-09,C,Y,ok,15.0,25.0,175.73,177.1199,2026-03-09 09:45:00-04:00,2026-03-09 09:55:00-04:00,10.0,1.3899000000000115,0.007909292664883693,False,True
NVDA,2026-03-09,C,Z,ok,15.0,195.0,175.73,180.5101,2026-03-09 09:45:00-04:00,2026-03-09 12:45:00-04:00,180.0,4.7801000000000045,0.02720138849371197,False,True
SPY,2026-03-09,A,X,ok,0.0,180.0,667.45,670.4222,2026-03-09 09:30:00-04:00,2026-03-09 12:30:00-04:00,180.0,2.97219999999993,0.004453067645516413,False,False
