ticker,session_date,entry_open,prior_close,prior_poc,prior_val,prior_vah,gap_pct,target_px,stop_px,outcome,exit_px,exit_date,bars_held,underlying_pnl,underlying_pct,status,symbol,expiry,strike,entry_opt,exit_opt,opt_pnl,opt_pnl_pct
JPM,2025-03-06,248.11,251.47,250.08,249.58,251.93,-0.013361434763590032,250.08,244.75000000000003,stop,244.75000000000003,2025-03-07,1,-3.359999999999985,-0.013542380395792128,ok,JPM250307C00247500,2025-03-07,247.5,2.37,0.13,-224.00000000000003,-0.9451476793248945
SPY,2025-03-06,575.48,583.05,583.18,577.23,584.78,-0.012983449103850334,583.18,567.9100000000001,stop,567.9100000000001,2025-03-07,1,-7.569999999999936,-0.013154236463473858,ok,SPY250307C00575000,2025-03-07,575.0,5.23,1.14,-409.00000000000006,-0.7820267686424475
JPM,2025-03-10,236.21,242.0,242.08,240.83,243.22,-0.023925619834710712,242.08,230.42000000000002,stop,230.42000000000002,2025-03-11,1,-5.789999999999992,-0.024512086702510445,ok,JPM250314C00235000,2025-03-14,235.0,6.2,1.74,-446.0,-0.7193548387096774
SPY,2025-03-10,567.59,575.85,575.73,569.93,576.77,-0.014344013197881377,575.73,559.33,stop,559.33,2025-03-11,1,-8.259999999999991,-0.014552758152892035,ok,SPY250314C00568000,2025-03-14,568.0,7.93,2.9,-502.99999999999994,-0.6343001261034047
SPY,2025-03-18,564.8,567.02,568.73,564.98,569.73,-0.0039152058128461556,568.73,562.5799999999999,target,568.73,2025-03-19,1,3.9300000000000637,0.006958215297450538,ok,SPY250321C00565000,2025-03-21,565.0,4.97,4.56,-41.000000000000014,-0.08249496981891351
JPM,2025-03-20,236.56,239.24,238.48,237.38,240.58,-0.011202140110349468,238.48,233.88,target,238.48,2025-03-21,1,1.9199999999999875,0.00811633412242132,ok,JPM250321C00237500,2025-03-21,237.5,1.5,1.68,17.999999999999993,0.11999999999999995
JPM,2025-03-21,237.81,238.93,239.43,238.83,240.58,-0.004687565395722616,239.43,236.69,target,239.43,2025-03-24,1,1.6200000000000045,0.00681216096884069,ok,JPM250328C00237500,2025-03-28,237.5,4.35,9.94,559.0,1.2850574712643679
SPY,2025-03-21,559.28,565.68,565.58,563.98,567.88,-0.011313816999010002,565.58,552.88,target,565.58,2025-03-24,1,6.300000000000068,0.011264482906594315,ok,SPY250328C00559000,2025-03-28,559.0,6.84,15.93,909.0,1.3289473684210527
JPM,2025-03-27,249.525,250.92,250.93,250.03,253.38,-0.00555954088952647,250.93,248.13000000000002,stop,248.13000000000002,2025-03-28,1,-1.3949999999999818,-0.005590622182146005,ok,JPM250328C00250000,2025-03-28,250.0,1.53,0.01,-152.0,-0.9934640522875817
JPM,2025-03-28,246.94,248.12,249.18,248.38,249.83,-0.004755763340319228,249.18,245.76,stop,245.76,2025-03-31,1,-1.1800000000000068,-0.004778488701708944,ok,JPM250404C00247500,2025-04-04,247.5,3.43,1.21,-222.00000000000003,-0.6472303206997084
JPM,2025-03-31,239.41,242.82,243.23,241.58,244.13,-0.014043324273124111,243.23,236.0,target,243.23,2025-04-01,1,3.819999999999993,0.015955891566768278,ok,JPM250404C00240000,2025-04-04,240.0,3.5,6.25,275.0,0.7857142857142857
