split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos,sum_edge
train,S3,prior_high,0.3,0.5,331,0.525679758308157,0.4743202416918429,0.0,-0.07945619335347433,26,0.6153846153846154,-0.007692307692307699,-0.09083344002048394,-0.09069767441860466,0.011377246667009608,0.08300536672629696,0.09438261339330657
train,S3,val,1.0,1.0,343,0.5014577259475219,0.4839650145772595,0.014577259475218658,0.01749271137026239,23,0.5217391304347826,0.043478260869565216,-0.014978875944181283,-0.014534883720930232,0.032471587314443676,0.05801314459049545,0.09048473190493912
train,S3,prior_close,0.3,1.0,455,0.7604395604395604,0.23736263736263735,0.002197802197802198,-0.009230769230769237,32,0.75,-0.025000000000000022,-0.06232236589425169,-0.055232558139534885,0.053091596663482454,0.030232558139534862,0.08332415480301732
train,S3,prior_high,1.0,1.5,331,0.5861027190332326,0.3867069486404834,0.027190332326283987,0.006042296072507553,26,0.6153846153846154,0.038461538461538464,-0.008449622327486878,-0.024709302325581394,0.014491918399994431,0.06317084078711986,0.0776627591871143
train,S3,val,1.0,0.75,343,0.43440233236151604,0.5597667638483965,0.0058309037900874635,0.014577259475218658,23,0.43478260869565216,0.010869565217391304,-0.016899244654973757,-0.03234011627906977,0.031476504130192415,0.04320968149646107,0.0746861856266535
train,S3,prior_high,0.75,1.0,331,0.56797583081571,0.43202416918429004,0.0,-0.006042296072507553,26,0.5769230769230769,0.009615384615384616,-0.025220842401741134,-0.04469476744186047,0.019178546329233583,0.054310152057245084,0.07348869838647867
train,S2,prior_close,0.3,1.5,145,0.8206896551724138,0.1793103448275862,0.0,-0.0227586206896552,11,0.8181818181818182,-0.027272727272727296,-0.04075022404301628,-0.07194767441860465,0.01799160335336108,0.04467494714587736,0.06266655049923844
train,S3,prior_close,1.0,0.75,455,0.42417582417582417,0.5714285714285714,0.004395604395604396,-0.004395604395604396,32,0.4375,0.015625,-0.016899244654973757,-0.03234011627906977,0.012503640259369361,0.04796511627906977,0.06046875653843913
train,S4,prior_low,1.0,0.5,291,0.3333333333333333,0.6666666666666666,0.0,0.0,33,0.3333333333333333,0.0,-0.016835232364614004,-0.04142441860465116,0.016835232364614004,0.04142441860465116,0.058259650969265164
train,S3,prior_close,0.5,0.5,455,0.4835164835164835,0.5164835164835165,0.0,-0.016483516483516484,32,0.46875,-0.03125,-0.04679298425297657,-0.05377906976744186,0.03030946776946009,0.02252906976744186,0.052838537536901944
train,S3,prior_low,0.3,0.5,211,0.5260663507109005,0.47393364928909953,0.0,-0.07914691943127963,25,0.56,-0.05199999999999999,-0.09083344002048394,-0.09069767441860466,0.011686520589204302,0.038697674418604666,0.05038419500780897
train,S3,val,0.75,1.0,343,0.5568513119533528,0.4314868804664723,0.011661807580174927,-0.013848396501457727,23,0.5652173913043478,-0.010869565217391304,-0.025220842401741134,-0.04469476744186047,0.011372445900283407,0.033825202224469164,0.04519764812475257
train,S3,prior_low,0.5,1.5,211,0.7488151658767772,0.24170616113744076,0.009478672985781991,0.011848341232227487,25,0.72,-0.06,-0.02202022788375368,-0.06540697674418605,0.03386856911598117,0.005406976744186054,0.039275545860167224
train,S3,val,0.75,0.75,343,0.4897959183673469,0.5072886297376094,0.0029154518950437317,-0.013119533527696793,23,0.4782608695652174,-0.03260869565217391,-0.025156830111381385,-0.05777616279069767,0.012037296583684591,0.02516746713852376,0.03720476372220835
train,S3,prior_high,1.0,1.0,331,0.49244712990936557,0.4954682779456193,0.012084592145015106,-0.0030211480362537764,26,0.5,0.0,-0.014978875944181283,-0.014534883720930232,0.011957727907927505,0.014534883720930232,0.026492611628857736
train,S3,val,0.3,0.5,343,0.5335276967930029,0.46647230320699706,0.0,-0.07317784256559767,23,0.5217391304347826,-0.08260869565217392,-0.09083344002048394,-0.09069767441860466,0.017655597454886263,0.008088978766430735,0.025744576221316998
