split,rule,level_name,target_mult,stop_mult,n,hit,stop,timeout,expectancy_atr
oos,S2,prior_high,0.5,1.5,9,0.5555555555555556,0.4444444444444444,0.0,-0.3888888888888889
oos,S2,prior_low,0.5,1.5,5,0.6,0.4,0.0,-0.3
oos,S2,vah,0.5,1.5,4,0.75,0.25,0.0,0.0
oos,S2,val,0.5,1.5,4,0.75,0.25,0.0,0.0
oos,S3,poc,0.5,1.5,23,0.8260869565217391,0.17391304347826086,0.0,0.15217391304347827
oos,S3,prior_close,0.5,1.5,32,0.625,0.375,0.0,-0.25
oos,S3,prior_high,0.5,1.5,26,0.8461538461538461,0.15384615384615385,0.0,0.19230769230769232
oos,S3,prior_low,0.5,1.5,25,0.72,0.28,0.0,-0.06
oos,S3,vah,0.5,1.5,20,0.75,0.25,0.0,0.0
oos,S3,val,0.5,1.5,23,0.8260869565217391,0.17391304347826086,0.0,0.15217391304347827
oos,S4,poc,0.5,1.5,30,0.6,0.4,0.0,-0.3
oos,S4,prior_close,0.5,1.5,31,0.5806451612903226,0.41935483870967744,0.0,-0.3387096774193548
oos,S4,prior_high,0.5,1.5,22,0.6363636363636364,0.36363636363636365,0.0,-0.22727272727272727
oos,S4,prior_low,0.5,1.5,33,0.7575757575757576,0.24242424242424243,0.0,0.015151515151515152
oos,S4,vah,0.5,1.5,18,0.6666666666666666,0.3333333333333333,0.0,-0.16666666666666666
oos,S4,val,0.5,1.5,29,0.6551724137931034,0.3448275862068966,0.0,-0.1896551724137931
oos,S1,poc,0.75,0.5,4,0.25,0.75,0.0,-0.1875
oos,S1,prior_close,0.75,0.5,6,0.5,0.5,0.0,0.125
oos,S1,prior_high,0.75,0.5,6,0.3333333333333333,0.6666666666666666,0.0,-0.08333333333333333
oos,S1,prior_low,0.75,0.5,6,0.3333333333333333,0.6666666666666666,0.0,-0.08333333333333333
oos,S1,vah,0.75,0.5,2,0.5,0.5,0.0,0.125
oos,S1,val,0.75,0.5,5,0.0,1.0,0.0,-0.5
oos,S2,poc,0.75,0.5,7,0.5714285714285714,0.42857142857142855,0.0,0.21428571428571427
