split,rule,level_name,target_mult,stop_mult,n_train,hit_train,stop,timeout,exp_train,n_oos,hit_oos,exp_oos,base_train,base_oos,edge_train,edge_oos
train,S3,poc,0.3,1.0,415,0.7469879518072289,0.25060240963855424,0.0024096385542168677,-0.02650602409638554,23,0.8695652173913043,0.13043478260869565,-0.06232236589425169,-0.055232558139534885,0.03581634179786615,0.18566734074823055
train,S3,prior_close,0.3,1.0,455,0.7604395604395604,0.23736263736263735,0.002197802197802198,-0.009230769230769237,32,0.75,-0.025000000000000022,-0.06232236589425169,-0.055232558139534885,0.053091596663482454,0.030232558139534862
train,S3,prior_high,0.3,1.0,331,0.7190332326283988,0.2809667673716012,0.0,-0.0652567975830816,26,0.8846153846153846,0.14999999999999997,-0.06232236589425169,-0.055232558139534885,-0.002934431688829911,0.20523255813953484
train,S3,prior_low,0.3,1.0,211,0.7535545023696683,0.24170616113744076,0.004739336492890996,-0.015639810426540304,25,0.6,-0.22,-0.06232236589425169,-0.055232558139534885,0.046682555467711384,-0.1647674418604651
train,S3,vah,0.3,1.0,422,0.7085308056872038,0.2890995260663507,0.002369668246445498,-0.07654028436018957,20,0.75,-0.025,-0.06232236589425169,-0.055232558139534885,-0.014217918465937882,0.030232558139534883
train,S3,val,0.3,1.0,343,0.717201166180758,0.27988338192419826,0.0029154518950437317,-0.06472303206997085,23,0.6956521739130435,-0.09565217391304348,-0.06232236589425169,-0.055232558139534885,-0.002400666175719157,-0.040419615773508596
train,S4,poc,0.3,1.0,404,0.6782178217821783,0.3217821782178218,0.0,-0.11831683168316831,30,0.5666666666666667,-0.26333333333333336,-0.06232236589425169,-0.055232558139534885,-0.05599446578891662,-0.2081007751937985
train,S4,prior_close,0.3,1.0,458,0.7052401746724891,0.29475982532751094,0.0,-0.08318777292576421,31,0.6774193548387096,-0.11935483870967742,-0.06232236589425169,-0.055232558139534885,-0.020865407031512517,-0.06412228057014253
train,S4,prior_high,0.3,1.0,345,0.6869565217391305,0.3130434782608696,0.0,-0.10695652173913045,22,0.5,-0.35000000000000003,-0.06232236589425169,-0.055232558139534885,-0.04463415584487876,-0.29476744186046516
train,S4,prior_low,0.3,1.0,291,0.6872852233676976,0.3127147766323024,0.0,-0.10652920962199312,33,0.7575757575757576,-0.015151515151515152,-0.06232236589425169,-0.055232558139534885,-0.04420684372774143,0.04008104298801973
train,S4,vah,0.3,1.0,394,0.6954314720812182,0.30456852791878175,0.0,-0.09593908629441623,18,0.3888888888888889,-0.49444444444444446,-0.06232236589425169,-0.055232558139534885,-0.03361672040016454,-0.4392118863049096
train,S4,val,0.3,1.0,353,0.7053824362606232,0.29461756373937675,0.0,-0.0830028328611898,29,0.7931034482758621,0.031034482758620672,-0.06232236589425169,-0.055232558139534885,-0.020680466966938107,0.08626704089815555
train,S1,poc,0.3,1.5,159,0.8176100628930818,0.18238993710691823,0.0,-0.02830188679245283,4,0.75,-0.15000000000000002,-0.04075022404301628,-0.07194767441860465,0.012448337250563449,-0.07805232558139537
train,S1,prior_close,0.3,1.5,185,0.7945945945945946,0.20540540540540542,0.0,-0.06972972972972973,6,1.0,0.3,-0.04075022404301628,-0.07194767441860465,-0.028979505686713446,0.37194767441860466
train,S1,prior_high,0.3,1.5,116,0.7586206896551724,0.2413793103448276,0.0,-0.13448275862068967,6,0.6666666666666666,-0.3,-0.04075022404301628,-0.07194767441860465,-0.09373253457767339,-0.22805232558139532
train,S1,prior_low,0.3,1.5,95,0.7368421052631579,0.2631578947368421,0.0,-0.1736842105263158,6,0.8333333333333334,0.0,-0.04075022404301628,-0.07194767441860465,-0.13293398648329952,0.07194767441860465
train,S1,vah,0.3,1.5,183,0.8087431693989071,0.1912568306010929,0.0,-0.04426229508196722,2,0.5,-0.6,-0.04075022404301628,-0.07194767441860465,-0.0035120710389509383,-0.5280523255813954
train,S1,val,0.3,1.5,138,0.8043478260869565,0.1956521739130435,0.0,-0.05217391304347828,5,0.4,-0.78,-0.04075022404301628,-0.07194767441860465,-0.011423689000462,-0.7080523255813954
train,S2,poc,0.3,1.5,129,0.7984496124031008,0.20155038759689922,0.0,-0.06279069767441861,7,0.5714285714285714,-0.4714285714285714,-0.04075022404301628,-0.07194767441860465,-0.02204047363140233,-0.39948089700996675
train,S2,prior_close,0.3,1.5,145,0.8206896551724138,0.1793103448275862,0.0,-0.0227586206896552,11,0.8181818181818182,-0.027272727272727296,-0.04075022404301628,-0.07194767441860465,0.01799160335336108,0.04467494714587736
