minute,mean_vol,median_vol,mean_bp,mean_delta,n,time
749,94255.05944310135,70234.0,0.5076060046383046,1295.2364794117198,819,12:29
750,125380.72828588767,91942.0,0.5109307809458156,-951.942931006069,819,12:30
751,109471.76628462515,81681.0,0.5165558319601204,4117.056554924851,819,12:31
752,114177.8188780635,86050.0,0.527237020914716,3824.43855610865,819,12:32
753,102823.6939388022,74561.0,0.5171303012537776,4537.331952221034,819,12:33
754,95175.99452263735,70680.0,0.5108356191477955,592.975923189095,819,12:34
755,108153.45669794382,77043.0,0.5092346859515705,2918.6395812474343,819,12:35
756,104122.86396674848,80698.0,0.5086441878536845,4062.7274981778246,819,12:36
757,100929.14819862881,72860.0,0.5069437820083041,1122.76501570773,819,12:37
758,97346.51774606349,71928.0,0.5201795524877539,4898.522304713258,819,12:38
759,90968.53937199511,66891.0,0.49386146807829556,2591.8468058877943,819,12:39
760,106771.95557609768,80921.0,0.4995477014025194,392.01825731970206,819,12:40
761,96734.2100810354,73124.0,0.520540638401984,8219.492931553285,819,12:41
762,101460.40339990353,75617.110495,0.5011323230141072,1945.7736558579509,819,12:42
763,98486.49378918803,77025.0,0.510124638565242,-1612.7725737973062,819,12:43
764,95036.81523498168,70863.0,0.5164716364724213,812.5642716503869,819,12:44
765,108004.29147405739,78472.0,0.5153075683583875,232.08359718565677,819,12:45
766,105069.19310962272,75916.0,0.48771915411688954,-3762.507719185508,819,12:46
767,97874.95707573627,70313.0,0.5121117638769407,-1254.7154543231704,819,12:47
768,96369.99011793529,72555.0,0.5003380430469996,853.8060534058504,819,12:48
769,92895.81722744688,69412.0,0.5187064540248933,4010.463817825125,819,12:49
770,107149.82075178876,77378.0,0.5439339984009254,5724.06328449225,819,12:50
771,100450.68908086936,74854.0,0.5368709065642522,4248.6214885767995,819,12:51
772,104583.93958757508,78488.0,0.5276830811493814,6286.630481471132,819,12:52
773,102389.88379361905,75005.0,0.5027700661608995,-262.99739020981184,819,12:53
774,97012.77126657264,68241.0,0.5276181091392418,3352.0542272548105,819,12:54
775,110740.93616033577,85945.0,0.48893088201265383,-1142.1371059635876,819,12:55
776,110705.10615622588,73567.0,0.5068591920118776,4494.190708247182,819,12:56
777,98040.28280423931,71517.0,0.5059423189571444,1246.8928126103606,819,12:57
778,106262.76443873382,73908.0,0.519444117801842,766.0317789196682,819,12:58
779,104574.19415499269,70983.0,0.5156988411148683,2404.9977482635413,819,12:59
780,132379.73784410744,90465.0,0.4998614499885647,2672.7539242595635,819,13:00
781,116685.82665114303,84493.0,0.5139670429639016,-5507.163914168389,811,13:01
782,125056.19276144389,92192.0,0.5172174770648973,2564.604725061495,811,13:02
783,103935.56320842417,79087.0,0.5148606936978721,3674.1469717278374,811,13:03
784,102639.69328778914,75351.0,0.5008871769418145,-543.379187738796,811,13:04
785,107542.67021113934,78772.0,0.5017193179085542,-4648.707118702434,811,13:05
786,103973.11594632553,79591.0,0.5379551051746527,9935.860536300273,811,13:06
787,103083.30244077681,74776.0,0.5037685842181874,-3135.6432914016127,811,13:07
788,110453.56136638224,83076.0,0.5095956306543077,-2068.5618321410016,811,13:08
789,91950.67956035757,68148.0,0.49668251085384935,-3348.5054744583495,811,13:09
790,107643.3899712355,83988.0,0.5215736371180746,1170.5794946055435,811,13:10
791,103480.01494351665,77717.0,0.5142563644875051,-910.6238117187219,811,13:11
792,99020.87894528113,73812.0,0.5622629221614676,10619.393305536447,811,13:12
793,97721.30081093835,72546.0,0.501534072599049,-4953.476214987473,811,13:13
794,91668.19097399754,68404.443435,0.5170088269693395,2655.4437367648284,811,13:14
795,115236.59292550554,87739.0,0.5082010383470953,-1836.0789805512381,811,13:15
796,103444.53682932428,79462.0,0.5192460688018321,2109.8872023654512,811,13:16
797,94571.04432094205,74129.0,0.4875541457509186,-650.4366086072423,811,13:17
798,99195.4690873095,71744.0,0.49958286425993065,1759.3116832969013,811,13:18
799,105138.05561606411,69519.0,0.5182731508788008,8442.351975785581,811,13:19
800,109283.4727132392,78597.0,0.5140666850548299,3282.9720934372554,811,13:20
801,111359.90686268064,77805.0,0.5122619148437105,-4804.377389330587,811,13:21
802,103875.38102664858,77413.0,0.5369302454804918,12058.528850779372,811,13:22
803,92584.72381658076,70980.0,0.525025804738325,3812.6924681427017,811,13:23
804,98525.17076154501,74267.576874,0.5098429060839929,1149.5900397751643,811,13:24
805,103578.60232337979,73371.0,0.5077887322930084,-1158.342953535933,811,13:25
806,100468.18363433168,73382.0,0.5119626436317295,-323.9843974839151,811,13:26
807,101157.91477607645,70914.960552,0.5218557718550166,771.6619473464516,811,13:27
808,110893.89960519975,79801.0,0.51400771832464,-1214.73406532983,811,13:28
809,98379.90315024168,70408.0,0.5009184224221325,-780.0057280487415,811,13:29
810,129188.05165692109,98129.0,0.5460713559633967,9532.238402712544,811,13:30
811,108054.02243628113,81707.0,0.5006816816624455,983.8236126936333,811,13:31
812,121399.48866274601,88542.0,0.5055212629096896,2011.6316356966097,811,13:32
