window,level,vol_filter,split,target_mult,stop_mult,n,hit,stop_rate,exp_atr
10_00_10_30,poc,V3,train,0.3,1.0,17,0.6470588235294118,0.35294117647058826,-0.15882352941176472
10_00_10_30,poc,V3,oos,0.3,1.0,2,1.0,0.0,0.3
10_00_10_30,poc,V3,train,0.3,1.5,17,0.8235294117647058,0.17647058823529413,-0.0176470588235294
10_00_10_30,poc,V3,oos,0.3,1.5,2,1.0,0.0,0.3
10_00_10_30,poc,V3,train,0.5,0.5,17,0.35294117647058826,0.6470588235294118,-0.14705882352941177
10_00_10_30,poc,V3,oos,0.5,0.5,2,1.0,0.0,0.5
10_00_10_30,poc,V3,train,0.5,0.75,17,0.5294117647058824,0.47058823529411764,-0.08823529411764706
10_00_10_30,poc,V3,oos,0.5,0.75,2,1.0,0.0,0.5
10_00_10_30,poc,V3,train,0.5,1.0,17,0.5882352941176471,0.4117647058823529,-0.11764705882352941
10_00_10_30,poc,V3,oos,0.5,1.0,2,1.0,0.0,0.5
10_00_10_30,poc,V3,train,0.5,1.5,17,0.7647058823529411,0.23529411764705882,0.029411764705882353
10_00_10_30,poc,V3,oos,0.5,1.5,2,1.0,0.0,0.5
10_00_10_30,poc,V3,train,0.75,0.5,17,0.23529411764705882,0.7647058823529411,-0.20588235294117646
10_00_10_30,poc,V3,oos,0.75,0.5,2,1.0,0.0,0.75
10_00_10_30,poc,V3,train,0.75,0.75,17,0.4117647058823529,0.5882352941176471,-0.1323529411764706
10_00_10_30,poc,V3,oos,0.75,0.75,2,1.0,0.0,0.75
10_00_10_30,poc,V3,train,0.75,1.0,17,0.47058823529411764,0.5294117647058824,-0.17647058823529413
