config,direction,horizon,target,stop,n,hit,stop_rate,timeout,expectancy,r_multiple
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,0.5,585,0.6564102564102564,0.3111111111111111,0.03247863247863248,-0.024273504273504255,-0.04854700854700851
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,0.75,585,0.7401709401709402,0.1829059829059829,0.07692307692307693,0.01085470085470087,0.014472934472934492
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,1.0,585,0.7658119658119659,0.12478632478632479,0.1094017094017094,0.02837606837606839,0.02837606837606839
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.2,1.5,585,0.788034188034188,0.04957264957264957,0.1623931623931624,0.08324786324786325,0.0554985754985755
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,0.15,585,0.2905982905982906,0.6974358974358974,0.011965811965811967,-0.017435897435897428,-0.11623931623931619
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,0.2,585,0.3572649572649573,0.6273504273504273,0.015384615384615385,-0.018290598290598307,-0.09145299145299153
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,0.25,585,0.4153846153846154,0.5623931623931624,0.022222222222222223,-0.015982905982906,-0.063931623931624
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,0.3,585,0.46324786324786327,0.5128205128205128,0.023931623931623933,-0.014871794871794877,-0.04957264957264959
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,0.5,585,0.5743589743589743,0.36923076923076925,0.05641025641025641,-0.012307692307692313,-0.024615384615384626
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,0.75,585,0.6564102564102564,0.22393162393162394,0.11965811965811966,0.028974358974358953,0.0386324786324786
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,1.0,585,0.6837606837606838,0.15213675213675212,0.1641025641025641,0.05299145299145299,0.05299145299145299
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.3,1.5,585,0.7025641025641025,0.06495726495726496,0.23247863247863249,0.11333333333333333,0.07555555555555556
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,0.15,585,0.22905982905982905,0.7487179487179487,0.022222222222222223,-0.020683760683760686,-0.13789173789173792
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,0.2,585,0.28888888888888886,0.6837606837606838,0.02735042735042735,-0.02119658119658118,-0.1059829059829059
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,0.25,585,0.3384615384615385,0.6222222222222222,0.039316239316239315,-0.020170940170940167,-0.08068376068376067
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,0.3,585,0.3811965811965812,0.5777777777777777,0.041025641025641026,-0.020854700854700835,-0.06951566951566945
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,0.5,585,0.46153846153846156,0.4324786324786325,0.10598290598290598,-0.03162393162393162,-0.06324786324786325
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,0.75,585,0.5282051282051282,0.27692307692307694,0.19487179487179487,0.0035897435897436045,0.004786324786324806
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,1.0,585,0.5641025641025641,0.18803418803418803,0.24786324786324787,0.037606837606837605,0.037606837606837605
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.4,1.5,585,0.5897435897435898,0.08034188034188035,0.3299145299145299,0.11538461538461539,0.07692307692307693
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.5,0.15,585,0.18803418803418803,0.7829059829059829,0.02905982905982906,-0.023418803418803424,-0.15612535612535616
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.5,0.2,585,0.24444444444444444,0.7162393162393162,0.039316239316239315,-0.021025641025641046,-0.10512820512820523
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.5,0.25,585,0.28547008547008546,0.6581196581196581,0.05641025641025641,-0.021794871794871794,-0.08717948717948718
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.5,0.3,585,0.31794871794871793,0.6205128205128205,0.06153846153846154,-0.027179487179487163,-0.09059829059829055
SPY_step_5.00_morning_0930_1115_first_T1,fade,15,0.5,0.5,585,0.38974358974358975,0.4717948717948718,0.13846153846153847,-0.041025641025641026,-0.08205128205128205
